     n                 r           density          velocity             B_phi               B_z          pressure
                    (cm)         (mg/cm^3)            (km/s)          (Mgauss)          (Mgauss)         (kJ/cm^3)
  8691  4.0574149920D+00  3.3803946723D+02 -2.6068410032D+02  2.4117978460D+01  2.8229939357D+01  0.0000000000D+00
  8692  4.0851007020D+00  3.4751235660D+02 -2.6034887800D+02  2.4469502829D+01  2.8610045400D+01  0.0000000000D+00
  8693  4.1129753256D+00  3.5726588797D+02 -2.6001498305D+02  2.4826562069D+01  2.8995964661D+01  0.0000000000D+00
  8694  4.1410401507D+00  3.6730868674D+02 -2.5968241698D+02  2.5189246414D+01  2.9387790046D+01  0.0000000000D+00
  8695  4.1692964760D+00  3.7764965060D+02 -2.5935118134D+02  2.5557647604D+01  2.9785615987D+01  0.0000000000D+00
  8696  4.1977456080D+00  3.8829795818D+02 -2.5902127752D+02  2.5931858903D+01  3.0189538476D+01  0.0000000000D+00
  8697  4.2263888622D+00  3.9926307816D+02 -2.5869270679D+02  2.6311975125D+01  3.0599655079D+01  0.0000000000D+00
  8698  4.2552275631D+00  4.1055477855D+02 -2.5836547033D+02  2.6698092668D+01  3.1016064970D+01  0.0000000000D+00
  8699  4.2842630445D+00  4.2218313646D+02 -2.5803956925D+02  2.7090309528D+01  3.1438868957D+01  0.0000000000D+00
  8700  4.3134966492D+00  4.3415854794D+02 -2.5771500456D+02  2.7488725336D+01  3.1868169507D+01  0.0000000000D+00
  8701  4.3429297287D+00  4.4649173834D+02 -2.5739177710D+02  2.7893441383D+01  3.2304070778D+01  0.0000000000D+00
  8702  4.3725636444D+00  4.5919377292D+02 -2.5706988769D+02  2.8304560644D+01  3.2746678642D+01  0.0000000000D+00
  8703  4.4023997670D+00  4.7227606786D+02 -2.5674933704D+02  2.8722187813D+01  3.3196100718D+01  0.0000000000D+00
  8704  4.4324394756D+00  4.8575040154D+02 -2.5643012575D+02  2.9146429324D+01  3.3652446396D+01  0.0000000000D+00
  8705  4.4626841598D+00  4.9962892628D+02 -2.5611225431D+02  2.9577393387D+01  3.4115826874D+01  0.0000000000D+00
  8706  4.4931352182D+00  5.1392418045D+02 -2.5579572317D+02  3.0015190019D+01  3.4586355182D+01  0.0000000000D+00
  8707  4.5237940590D+00  5.2864910094D+02 -2.5548053263D+02  3.0459931066D+01  3.5064146218D+01  0.0000000000D+00
  8708  4.5546620997D+00  5.4381703605D+02 -2.5516668292D+02  3.0911730241D+01  3.5549316773D+01  0.0000000000D+00
  8709  4.5857407683D+00  5.5944175884D+02 -2.5485417421D+02  3.1370703154D+01  3.6041985566D+01  0.0000000000D+00
  8710  4.6170315015D+00  5.7553748086D+02 -2.5454300653D+02  3.1836967342D+01  3.6542273280D+01  0.0000000000D+00
  8711  4.6485357468D+00  5.9211886639D+02 -2.5423317988D+02  3.2310642304D+01  3.7050302586D+01  0.0000000000D+00
  8712  4.6802549607D+00  6.0920104712D+02 -2.5392469409D+02  3.2791849533D+01  3.7566198187D+01  0.0000000000D+00
  8713  4.7121906099D+00  6.2679963726D+02 -2.5361754898D+02  3.3280712549D+01  3.8090086841D+01  0.0000000000D+00
  8714  4.7443441719D+00  6.4493074926D+02 -2.5331174428D+02  3.3777356934D+01  3.8622097406D+01  0.0000000000D+00
  8715  4.7767171332D+00  6.6361100999D+02 -2.5300727960D+02  3.4281910367D+01  3.9162360868D+01  0.0000000000D+00
  8716  4.8093109908D+00  6.8285757738D+02 -2.5270415447D+02  3.4794502659D+01  3.9711010377D+01  0.0000000000D+00
  8717  4.8421272522D+00  7.0268815775D+02 -2.5240236837D+02  3.5315265789D+01  4.0268181289D+01  0.0000000000D+00
  8718  4.8751674348D+00  7.2312102358D+02 -2.5210192067D+02  3.5844333939D+01  4.0834011197D+01  0.0000000000D+00
  8719  4.9084330665D+00  7.4417503196D+02 -2.5180281067D+02  3.6381843535D+01  4.1408639971D+01  0.0000000000D+00
  8720  4.9419256860D+00  7.6586964361D+02 -2.5150503760D+02  3.6927933281D+01  4.1992209794D+01  0.0000000000D+00
  8721  4.9756468416D+00  7.8822494249D+02 -2.5120860058D+02  3.7482744199D+01  4.2584865208D+01  0.0000000000D+00
  8722  5.0095980930D+00  8.1126165614D+02 -2.5091349871D+02  3.8046419671D+01  4.3186753142D+01  0.0000000000D+00
  8723  5.0437810104D+00  8.3500117658D+02 -2.5061973095D+02  3.8619105472D+01  4.3798022964D+01  0.0000000000D+00
  8724  5.0781971745D+00  8.5946558206D+02 -2.5032729624D+02  3.9200949816D+01  4.4418826509D+01  0.0000000000D+00
  8725  5.1128481768D+00  8.8467765932D+02 -2.5003619341D+02  3.9792103397D+01  4.5049318138D+01  0.0000000000D+00
  8726  5.1477356196D+00  9.1066092678D+02 -2.4974642124D+02  4.0392719429D+01  4.5689654759D+01  0.0000000000D+00
  8727  5.1828611163D+00  9.3743965836D+02 -2.4945797840D+02  4.1002953687D+01  4.6339995889D+01  0.0000000000D+00
  8728  5.2182262911D+00  9.6503890819D+02 -2.4917086354D+02  4.1622964555D+01  4.7000503687D+01  0.0000000000D+00
  8729  5.2538327799D+00  9.9348453600D+02 -2.4888507523D+02  4.2252913067D+01  4.7671343000D+01  0.0000000000D+00
  8730  5.2896822291D+00  1.0228032335D+03 -2.4860061193D+02  4.2892962949D+01  4.8352681410D+01  0.0000000000D+00
  8731  5.3257762965D+00  1.0530225516D+03 -2.4831747208D+02  4.3543280672D+01  4.9044689280D+01  0.0000000000D+00
  8732  5.3621166510D+00  1.0841709284D+03 -2.4803565401D+02  4.4204035492D+01  4.9747539801D+01  0.0000000000D+00
  8733  5.3987049735D+00  1.1162777183D+03 -2.4775515604D+02  4.4875399499D+01  5.0461409032D+01  0.0000000000D+00
  8734  5.4355429557D+00  1.1493732217D+03 -2.4747597637D+02  4.5557547665D+01  5.1186475964D+01  0.0000000000D+00
  8735  5.4726323016D+00  1.1834887166D+03 -2.4719811317D+02  4.6250657896D+01  5.1922922553D+01  0.0000000000D+00
  8736  5.5099747260D+00  1.2186564896D+03 -2.4692156452D+02  4.6954911073D+01  5.2670933780D+01  0.0000000000D+00
  8737  5.5475719557D+00  1.2549098703D+03 -2.4664632848D+02  4.7670491110D+01  5.3430697696D+01  0.0000000000D+00
  8738  5.5854257298D+00  1.2922832638D+03 -2.4637240300D+02  4.8397585005D+01  5.4202405481D+01  0.0000000000D+00
  8739  5.6235377982D+00  1.3308121874D+03 -2.4609978600D+02  4.9136382887D+01  5.4986251486D+01  0.0000000000D+00
  8740  5.6619099240D+00  1.3705333063D+03 -2.4582847533D+02  4.9887078073D+01  5.5782433296D+01  0.0000000000D+00
  8741  5.7005438814D+00  1.4114844716D+03 -2.4555846881D+02  5.0649867123D+01  5.6591151780D+01  0.0000000000D+00
  8742  5.7394414569D+00  1.4537047587D+03 -2.4528976415D+02  5.1424949891D+01  5.7412611146D+01  0.0000000000D+00
  8743  5.7786044496D+00  1.4972345083D+03 -2.4502235905D+02  5.2212529580D+01  5.8247019001D+01  0.0000000000D+00
  8744  5.8180346703D+00  1.5421153669D+03 -2.4475625113D+02  5.3012812807D+01  5.9094586399D+01  0.0000000000D+00
  8745  5.8577339424D+00  1.5883903308D+03 -2.4449143796D+02  5.3826009651D+01  5.9955527914D+01  0.0000000000D+00
  8746  5.8977041022D+00  1.6361037894D+03 -2.4422791706D+02  5.4652333715D+01  6.0830061682D+01  0.0000000000D+00
  8747  5.9379469974D+00  1.6853015719D+03 -2.4396568590D+02  5.5492002190D+01  6.1718409475D+01  0.0000000000D+00
  8748  5.9784644898D+00  1.7360309940D+03 -2.4370474193D+02  5.6345235908D+01  6.2620796755D+01  0.0000000000D+00
  8749  6.0192584523D+00  1.7883409070D+03 -2.4344508244D+02  5.7212259410D+01  6.3537452738D+01  0.0000000000D+00
  8750  6.0603307722D+00  1.8422817483D+03 -2.4318670480D+02  5.8093301004D+01  6.4468610457D+01  0.0000000000D+00
  8751  6.1016833482D+00  1.8979055937D+03 -2.4292960626D+02  5.8988592833D+01  6.5414506826D+01  0.0000000000D+00
  8752  6.1433180928D+00  1.9552662111D+03 -2.4267378404D+02  5.9898370938D+01  6.6375382708D+01  0.0000000000D+00
  8753  6.1852369317D+00  2.0144191167D+03 -2.4241923533D+02  6.0822875324D+01  6.7351482977D+01  0.0000000000D+00
  8754  6.2274418029D+00  2.0754216318D+03 -2.4216595721D+02  6.1762350025D+01  6.8343056588D+01  0.0000000000D+00
  8755  6.2699346588D+00  2.1383329430D+03 -2.4191394678D+02  6.2717043178D+01  6.9350356645D+01  0.0000000000D+00
  8756  6.3127174638D+00  2.2032141637D+03 -2.4166320110D+02  6.3687207084D+01  7.0373640476D+01  0.0000000000D+00
  8757  6.3557921964D+00  2.2701283968D+03 -2.4141371712D+02  6.4673098289D+01  7.1413169692D+01  0.0000000000D+00
  8758  6.3991608492D+00  2.3391408014D+03 -2.4116549183D+02  6.5674977646D+01  7.2469210277D+01  0.0000000000D+00
  8759  6.4428254271D+00  2.4103186597D+03 -2.4091852210D+02  6.6693110394D+01  7.3542032643D+01  0.0000000000D+00
  8760  6.4867879497D+00  2.4837314479D+03 -2.4067280480D+02  6.7727766230D+01  7.4631911717D+01  0.0000000000D+00
  8761  6.5310504498D+00  2.5594509080D+03 -2.4042833677D+02  6.8779219386D+01  7.5739127013D+01  0.0000000000D+00
  8762  6.5756149746D+00  2.6375511231D+03 -2.4018511482D+02  6.9847748704D+01  7.6863962711D+01  0.0000000000D+00
  8763  6.6204835848D+00  2.7181085940D+03 -2.3994313565D+02  7.0933637715D+01  7.8006707732D+01  0.0000000000D+00
  8764  6.6656583549D+00  2.8012023204D+03 -2.3970239595D+02  7.2037174718D+01  7.9167655824D+01  0.0000000000D+00
  8765  6.7111413747D+00  2.8869138820D+03 -2.3946289247D+02  7.3158652862D+01  8.0347105638D+01  0.0000000000D+00
  8766  6.7569347472D+00  2.9753275251D+03 -2.3922462179D+02  7.4298370229D+01  8.1545360812D+01  0.0000000000D+00
  8767  6.8030405901D+00  3.0665302497D+03 -2.3898758052D+02  7.5456629913D+01  8.2762730057D+01  0.0000000000D+00
  8768  6.8494610352D+00  3.1606119016D+03 -2.3875176522D+02  7.6633740111D+01  8.3999527241D+01  0.0000000000D+00
  8769  6.8961982299D+00  3.2576652659D+03 -2.3851717245D+02  7.7830014204D+01  8.5256071476D+01  0.0000000000D+00
  8770  6.9432543348D+00  3.3577861644D+03 -2.3828379869D+02  7.9045770848D+01  8.6532687210D+01  0.0000000000D+00
  8771  6.9906315267D+00  3.4610735566D+03 -2.3805164039D+02  8.0281334065D+01  8.7829704309D+01  0.0000000000D+00
  8772  7.0383319959D+00  3.5676296432D+03 -2.3782069401D+02  8.1537033331D+01  8.9147458159D+01  0.0000000000D+00
  8773  7.0863579486D+00  3.6775599736D+03 -2.3759095594D+02  8.2813203666D+01  9.0486289748D+01  0.0000000000D+00
  8774  7.1347116057D+00  3.7909735571D+03 -2.3736242255D+02  8.4110185736D+01  9.1846545773D+01  0.0000000000D+00
  8775  7.1833952031D+00  3.9079829770D+03 -2.3713509020D+02  8.5428325943D+01  9.3228578724D+01  0.0000000000D+00
  8776  7.2324109926D+00  4.0287045102D+03 -2.3690895520D+02  8.6767976522D+01  9.4632746990D+01  0.0000000000D+00
  8777  7.2817612404D+00  4.1532582485D+03 -2.3668401383D+02  8.8129495643D+01  9.6059414957D+01  0.0000000000D+00
  8778  7.3314482289D+00  4.2817682260D+03 -2.3646026236D+02  8.9513247508D+01  9.7508953107D+01  0.0000000000D+00
  8779  7.3814742558D+00  4.4143625500D+03 -2.3623769702D+02  9.0919602456D+01  9.8981738125D+01  0.0000000000D+00
  8780  7.4318416347D+00  4.5511735355D+03 -2.3601631402D+02  9.2348937070D+01  1.0047815300D+02  0.0000000000D+00
  8781  7.4825526945D+00  4.6923378456D+03 -2.3579610954D+02  9.3801634273D+01  1.0199858712D+02  0.0000000000D+00
  8782  7.5336097803D+00  4.8379966358D+03 -2.3557707973D+02  9.5278083450D+01  1.0354343643D+02  0.0000000000D+00
  8783  7.5850152537D+00  4.9882957031D+03 -2.3535922074D+02  9.6778680542D+01  1.0511310346D+02  0.0000000000D+00
  8784  7.6367714913D+00  5.1433856404D+03 -2.3514252868D+02  9.8303828171D+01  1.0670799751D+02  0.0000000000D+00
  8785  7.6888808871D+00  5.3034219959D+03 -2.3492699964D+02  9.9853935742D+01  1.0832853474D+02  0.0000000000D+00
  8786  7.7413458504D+00  5.4685654380D+03 -2.3471262968D+02  1.0142941957D+02  1.0997513826D+02  0.0000000000D+00
  8787  7.7941688076D+00  5.6389819252D+03 -2.3449941484D+02  1.0303070298D+02  1.1164823828D+02  0.0000000000D+00
  8788  7.8473522013D+00  5.8148428830D+03 -2.3428735116D+02  1.0465821645D+02  1.1334827224D+02  0.0000000000D+00
  8789  7.9008984912D+00  5.9963253847D+03 -2.3407643464D+02  1.0631239772D+02  1.1507568488D+02  0.0000000000D+00
  8790  7.9548101535D+00  6.1836123405D+03 -2.3386666128D+02  1.0799369189D+02  1.1683092842D+02  0.0000000000D+00
  8791  8.0090896812D+00  6.3768926907D+03 -2.3365802703D+02  1.0970255160D+02  1.1861446265D+02  0.0000000000D+00
  8792  8.0637395844D+00  6.5763616077D+03 -2.3345052784D+02  1.1143943711D+02  1.2042675507D+02  0.0000000000D+00
  8793  8.1187623903D+00  6.7822207031D+03 -2.3324415965D+02  1.1320481645D+02  1.2226828103D+02  0.0000000000D+00
  8794  8.1741606435D+00  6.9946782419D+03 -2.3303891838D+02  1.1499916556D+02  1.2413952385D+02  0.0000000000D+00
  8795  8.2299369060D+00  7.2139493650D+03 -2.3283479993D+02  1.1682296839D+02  1.2604097497D+02  0.0000000000D+00
  8796  8.2860937569D+00  7.4402563179D+03 -2.3263180017D+02  1.1867671708D+02  1.2797313403D+02  0.0000000000D+00
  8797  8.3426337933D+00  7.6738286878D+03 -2.3242991498D+02  1.2056091208D+02  1.2993650911D+02  0.0000000000D+00
  8798  8.3995596297D+00  7.9149036487D+03 -2.3222914021D+02  1.2247606227D+02  1.3193161680D+02  0.0000000000D+00
  8799  8.4568738989D+00  8.1637262140D+03 -2.3202947171D+02  1.2442268513D+02  1.3395898233D+02  0.0000000000D+00
  8800  8.5145792508D+00  8.4205494990D+03 -2.3183090529D+02  1.2640130688D+02  1.3601913981D+02  0.0000000000D+00
  8801  8.5726783545D+00  8.6856349900D+03 -2.3163343678D+02  1.2841246265D+02  1.3811263227D+02  0.0000000000D+00
  8802  8.6311738968D+00  8.9592528255D+03 -2.3143706198D+02  1.3045669656D+02  1.4024001186D+02  0.0000000000D+00
  8803  8.6900685822D+00  9.2416820833D+03 -2.3124177666D+02  1.3253456199D+02  1.4240184002D+02  0.0000000000D+00
  8804  8.7493651347D+00  9.5332110808D+03 -2.3104757662D+02  1.3464662158D+02  1.4459868763D+02  0.0000000000D+00
  8805  8.8090662963D+00  9.8341376827D+03 -2.3085445761D+02  1.3679344757D+02  1.4683113513D+02  0.0000000000D+00
  8806  8.8691748279D+00  1.0144769620D+04 -2.3066241541D+02  1.3897562178D+02  1.4909977274D+02  0.0000000000D+00
  8807  8.9296935093D+00  1.0465424821D+04 -2.3047144576D+02  1.4119373595D+02  1.5140520058D+02  0.0000000000D+00
  8808  8.9906251389D+00  1.0796431751D+04 -2.3028154439D+02  1.4344839174D+02  1.5374802887D+02  0.0000000000D+00
  8809  9.0519725346D+00  1.1138129764D+04 -2.3009270704D+02  1.4574020104D+02  1.5612887809D+02  0.0000000000D+00
  8810  9.1137385332D+00  1.1490869470D+04 -2.2990492941D+02  1.4806978606D+02  1.5854837913D+02  0.0000000000D+00
  8811  9.1759259913D+00  1.1855013109D+04 -2.2971820724D+02  1.5043777952D+02  1.6100717351D+02  0.0000000000D+00
  8812  9.2385377844D+00  1.2230934938D+04 -2.2953253623D+02  1.5284482483D+02  1.6350591351D+02  0.0000000000D+00
  8813  9.3015768084D+00  1.2619021640D+04 -2.2934791207D+02  1.5529157632D+02  1.6604526241D+02  0.0000000000D+00
  8814  9.3650459781D+00  1.3019672736D+04 -2.2916433046D+02  1.5777869937D+02  1.6862589464D+02  0.0000000000D+00
  8815  9.4289482287D+00  1.3433301011D+04 -2.2898178708D+02  1.6030687057D+02  1.7124849594D+02  0.0000000000D+00
  8816  9.4932865155D+00  1.3860332966D+04 -2.2880027763D+02  1.6287677801D+02  1.7391376364D+02  0.0000000000D+00
  8817  9.5580638136D+00  1.4301209273D+04 -2.2861979777D+02  1.6548912137D+02  1.7662240678D+02  0.0000000000D+00
  8818  9.6232831185D+00  1.4756385250D+04 -2.2844034317D+02  1.6814461222D+02  1.7937514632D+02  0.0000000000D+00
  8819  9.6889474464D+00  1.5226331352D+04 -2.2826190950D+02  1.7084397411D+02  1.8217271535D+02  0.0000000000D+00
  8820  9.7550598336D+00  1.5711533682D+04 -2.2808449242D+02  1.7358794290D+02  1.8501585934D+02  0.0000000000D+00
  8821  9.8216233380D+00  1.6212494508D+04 -2.2790808761D+02  1.7637726683D+02  1.8790533627D+02  0.0000000000D+00
  8822  9.8886410373D+00  1.6729732814D+04 -2.2773269070D+02  1.7921270683D+02  1.9084191689D+02  0.0000000000D+00
  8823  9.9561160311D+00  1.7263784854D+04 -2.2755829737D+02  1.8209503674D+02  1.9382638494D+02  0.0000000000D+00
  8824  1.0024051439D+01  1.7815204735D+04 -2.2738490326D+02  1.8502504345D+02  1.9685953735D+02  0.0000000000D+00
  8825  1.0092450404D+01  1.8384565016D+04 -2.2721250401D+02  1.8800352720D+02  1.9994218447D+02  0.0000000000D+00
  8826  1.0161316088D+01  1.8972457323D+04 -2.2704109529D+02  1.9103130175D+02  2.0307515030D+02  0.0000000000D+00
  8827  1.0230651676D+01  1.9579492997D+04 -2.2687067273D+02  1.9410919467D+02  2.0625927273D+02  0.0000000000D+00
  8828  1.0300460374D+01  2.0206303749D+04 -2.2670123198D+02  1.9723804752D+02  2.0949540377D+02  0.0000000000D+00
  8829  1.0370745410D+01  2.0853542347D+04 -2.2653276870D+02  2.0041871611D+02  2.1278440975D+02  0.0000000000D+00
  8830  1.0441510036D+01  2.1521883324D+04 -2.2636527852D+02  2.0365207075D+02  2.1612717165D+02  0.0000000000D+00
  8831  1.0512757523D+01  2.2212023707D+04 -2.2619875709D+02  2.0693899648D+02  2.1952458527D+02  0.0000000000D+00
  8832  1.0584491166D+01  2.2924683775D+04 -2.2603320008D+02  2.1028039333D+02  2.2297756152D+02  0.0000000000D+00
  8833  1.0656714283D+01  2.3660607839D+04 -2.2586860311D+02  2.1367717659D+02  2.2648702664D+02  0.0000000000D+00
  8834  1.0729430212D+01  2.4420565051D+04 -2.2570496184D+02  2.1713027704D+02  2.3005392253D+02  0.0000000000D+00
  8835  1.0802642318D+01  2.5205350241D+04 -2.2554227192D+02  2.2064064123D+02  2.3367920694D+02  0.0000000000D+00
  8836  1.0876353986D+01  2.6015784777D+04 -2.2538052901D+02  2.2420923175D+02  2.3736385378D+02  0.0000000000D+00
  8837  1.0950568624D+01  2.6852717458D+04 -2.2521972877D+02  2.2783702750D+02  2.4110885338D+02  0.0000000000D+00
  8838  1.1025289665D+01  2.7717025439D+04 -2.2505986684D+02  2.3152502396D+02  2.4491521278D+02  0.0000000000D+00
  8839  1.1100520564D+01  2.8609615184D+04 -2.2490093890D+02  2.3527423350D+02  2.4878395601D+02  0.0000000000D+00
  8840  1.1176264799D+01  2.9531423457D+04 -2.2474294060D+02  2.3908568561D+02  2.5271612439D+02  0.0000000000D+00
  8841  1.1252525874D+01  3.0483418329D+04 -2.2458586763D+02  2.4296042727D+02  2.5671277675D+02  0.0000000000D+00
  8842  1.1329307315D+01  3.1466600250D+04 -2.2442971564D+02  2.4689952317D+02  2.6077498987D+02  0.0000000000D+00
  8843  1.1406612674D+01  3.2482003123D+04 -2.2427448031D+02  2.5090405608D+02  2.6490385865D+02  0.0000000000D+00
  8844  1.1484445524D+01  3.3530695443D+04 -2.2412015733D+02  2.5497512711D+02  2.6910049648D+02  0.0000000000D+00
  8845  1.1562809466D+01  3.4613781454D+04 -2.2396674238D+02  2.5911385604D+02  2.7336603552D+02  0.0000000000D+00
  8846  1.1641708123D+01  3.5732402357D+04 -2.2381423115D+02  2.6332138162D+02  2.7770162712D+02  0.0000000000D+00
  8847  1.1721145143D+01  3.6887737556D+04 -2.2366261933D+02  2.6759886196D+02  2.8210844197D+02  0.0000000000D+00
  8848  1.1801124201D+01  3.8081005945D+04 -2.2351190264D+02  2.7194747473D+02  2.8658767058D+02  0.0000000000D+00
  8849  1.1881648995D+01  3.9313467239D+04 -2.2336207677D+02  2.7636841765D+02  2.9114052358D+02  0.0000000000D+00
  8850  1.1962723248D+01  4.0586423348D+04 -2.2321313743D+02  2.8086290871D+02  2.9576823201D+02  0.0000000000D+00
  8851  1.2044350711D+01  4.1901219804D+04 -2.2306508035D+02  2.8543218655D+02  3.0047204771D+02  0.0000000000D+00
  8852  1.2126535157D+01  4.3259247230D+04 -2.2291790125D+02  2.9007751088D+02  3.0525324366D+02  0.0000000000D+00
  8853  1.2209280388D+01  4.4661942863D+04 -2.2277159586D+02  2.9480016270D+02  3.1011311439D+02  0.0000000000D+00
  8854  1.2292590229D+01  4.6110792123D+04 -2.2262615993D+02  2.9960144480D+02  3.1505297623D+02  0.0000000000D+00
  8855  1.2376468534D+01  4.7607330243D+04 -2.2248158918D+02  3.0448268206D+02  3.2007416781D+02  0.0000000000D+00
  8856  1.2460919181D+01  4.9153143947D+04 -2.2233787940D+02  3.0944522182D+02  3.2517805034D+02  0.0000000000D+00
  8857  1.2545946076D+01  5.0749873190D+04 -2.2219502631D+02  3.1449043431D+02  3.3036600806D+02  0.0000000000D+00
  8858  1.2631553151D+01  5.2399212956D+04 -2.2205302571D+02  3.1961971300D+02  3.3563944861D+02  0.0000000000D+00
  8859  1.2717744364D+01  5.4102915115D+04 -2.2191187336D+02  3.2483447502D+02  3.4099980339D+02  0.0000000000D+00
  8860  1.2804523702D+01  5.5862790341D+04 -2.2177156506D+02  3.3013616151D+02  3.4644852803D+02  0.0000000000D+00
  8861  1.2891895177D+01  5.7680710104D+04 -2.2163209659D+02  3.3552623812D+02  3.5198710278D+02  0.0000000000D+00
  8862  1.2979862831D+01  5.9558608723D+04 -2.2149346375D+02  3.4100619537D+02  3.5761703286D+02  0.0000000000D+00
  8863  1.3068430729D+01  6.1498485485D+04 -2.2135566236D+02  3.4657754907D+02  3.6333984901D+02  0.0000000000D+00
  8864  1.3157602970D+01  6.3502406845D+04 -2.2121868823D+02  3.5224184076D+02  3.6915710781D+02  0.0000000000D+00
  8865  1.3247383677D+01  6.5572508694D+04 -2.2108253720D+02  3.5800063816D+02  3.7507039218D+02  0.0000000000D+00
  8866  1.3337777000D+01  6.7710998707D+04 -2.2094720510D+02  3.6385553562D+02  3.8108131183D+02  0.0000000000D+00
  8867  1.3428787122D+01  6.9920158772D+04 -2.2081268778D+02  3.6980815453D+02  3.8719150366D+02  0.0000000000D+00
  8868  1.3520418249D+01  7.2202347495D+04 -2.2067898110D+02  3.7586014386D+02  3.9340263231D+02  0.0000000000D+00
  8869  1.3612674620D+01  7.4560002799D+04 -2.2054608091D+02  3.8201318054D+02  3.9971639055D+02  0.0000000000D+00
  8870  1.3705560501D+01  7.6995644605D+04 -2.2041398311D+02  3.8826897000D+02  4.0613449980D+02  0.0000000000D+00
  8871  1.3799080187D+01  7.9511877605D+04 -2.2028268358D+02  3.9462924664D+02  4.1265871062D+02  0.0000000000D+00
  8872  1.3893238004D+01  8.2111394135D+04 -2.2015217821D+02  4.0109577430D+02  4.1929080317D+02  0.0000000000D+00
  8873  1.3988038304D+01  8.4796977132D+04 -2.2002246291D+02  4.0767034681D+02  4.2603258778D+02  0.0000000000D+00
  8874  1.4083485474D+01  8.7571503212D+04 -2.1989353361D+02  4.1435478844D+02  4.3288590538D+02  0.0000000000D+00
  8875  1.4179583926D+01  9.0437945830D+04 -2.1976538622D+02  4.2115095449D+02  4.3985262808D+02  0.0000000000D+00
  8876  1.4276338104D+01  9.3399378567D+04 -2.1963801670D+02  4.2806073176D+02  4.4693465968D+02  0.0000000000D+00
  8877  1.4373752483D+01  9.6458978514D+04 -2.1951142099D+02  4.3508603910D+02  4.5413393623D+02  0.0000000000D+00
  8878  1.4471831566D+01  9.9620029785D+04 -2.1938559505D+02  4.4222882797D+02  4.6145242653D+02  0.0000000000D+00
  8879  1.4570579892D+01  1.0288592713D+05 -2.1926053486D+02  4.4949108302D+02  4.6889213274D+02  0.0000000000D+00
  8880  1.4670002025D+01  1.0626017970D+05 -2.1913623640D+02  4.5687482259D+02  4.7645509091D+02  0.0000000000D+00
  8881  1.4770102564D+01  1.0974641490D+05 -2.1901269568D+02  4.6438209932D+02  4.8414337159D+02  0.0000000000D+00
  8882  1.4870886137D+01  1.1334838242D+05 -2.1888990869D+02  4.7201500078D+02  4.9195908039D+02  0.0000000000D+00
  8883  1.4972357405D+01  1.1706995836D+05 -2.1876787147D+02  4.7977564998D+02  4.9990435860D+02  0.0000000000D+00
  8884  1.5074521061D+01  1.2091514954D+05 -2.1864658003D+02  4.8766620603D+02  5.0798138375D+02  0.0000000000D+00
  8885  1.5177381829D+01  1.2488809788D+05 -2.1852603044D+02  4.9568886474D+02  5.1619237031D+02  0.0000000000D+00
  8886  1.5280944466D+01  1.2899308505D+05 -2.1840621874D+02  5.0384585926D+02  5.2453957022D+02  0.0000000000D+00
  8887  1.5385213762D+01  1.3323453714D+05 -2.1828714099D+02  5.1213946071D+02  5.3302527362D+02  0.0000000000D+00
  8888  1.5490194537D+01  1.3761702964D+05 -2.1816879329D+02  5.2057197878D+02  5.4165180941D+02  0.0000000000D+00
  8889  1.5595891647D+01  1.4214529239D+05 -2.1805117173D+02  5.2914576249D+02  5.5042154602D+02  0.0000000000D+00
  8890  1.5702309979D+01  1.4682421492D+05 -2.1793427241D+02  5.3786320077D+02  5.5933689196D+02  0.0000000000D+00
  8891  1.5809454455D+01  1.5165885185D+05 -2.1781809144D+02  5.4672672316D+02  5.6840029660D+02  0.0000000000D+00
  8892  1.5917330031D+01  1.5665442843D+05 -2.1770262498D+02  5.5573880056D+02  5.7761425083D+02  0.0000000000D+00
  8893  1.6025941693D+01  1.6181634642D+05 -2.1758786914D+02  5.6490194587D+02  5.8698128773D+02  0.0000000000D+00
  8894  1.6135294466D+01  1.6715018997D+05 -2.1747382011D+02  5.7421871468D+02  5.9650398337D+02  0.0000000000D+00
  8895  1.6245393405D+01  1.7266173192D+05 -2.1736047404D+02  5.8369170614D+02  6.0618495747D+02  0.0000000000D+00
  8896  1.6356243603D+01  1.7835694017D+05 -2.1724782712D+02  5.9332356353D+02  6.1602687417D+02  0.0000000000D+00
  8897  1.6467850186D+01  1.8424198425D+05 -2.1713587554D+02  6.0311697515D+02  6.2603244280D+02  0.0000000000D+00
  8898  1.6580218314D+01  1.9032324225D+05 -2.1702461552D+02  6.1307467499D+02  6.3620441862D+02  0.0000000000D+00
  8899  1.6693353185D+01  1.9660730781D+05 -2.1691404328D+02  6.2319944356D+02  6.4654560363D+02  0.0000000000D+00
  8900  1.6807260030D+01  2.0310099755D+05 -2.1680415505D+02  6.3349410870D+02  6.5705884736D+02  0.0000000000D+00
  8901  1.6921944116D+01  2.0981135856D+05 -2.1669494709D+02  6.4396154634D+02  6.6774704765D+02  0.0000000000D+00
  8902  1.7037410748D+01  2.1674567625D+05 -2.1658641565D+02  6.5460468133D+02  6.7861315153D+02  0.0000000000D+00
  8903  1.7153665264D+01  2.2391148245D+05 -2.1647855702D+02  6.6542648832D+02  6.8966015600D+02  0.0000000000D+00
  8904  1.7270713042D+01  2.3131656382D+05 -2.1637136749D+02  6.7642999257D+02  7.0089110891D+02  0.0000000000D+00
