     n                 r           density          velocity             B_phi               B_z          pressure
                    (cm)         (mg/cm^3)            (km/s)          (Mgauss)          (Mgauss)         (kJ/cm^3)
    97  4.3312034583D-06  1.1405792818D-05 -1.8046691569D-03  3.2255417935D-03  6.5222859011D+00  4.0544424044D+01
    98  4.3401128838D-06  1.1431864762D-05 -1.8083814175D-03  3.2292262445D-03  6.5222858970D+00  4.0544423992D+01
    99  4.3490406363D-06  1.1457996303D-05 -1.8121013143D-03  3.2329149041D-03  6.5222858928D+00  4.0544423941D+01
   100  4.3579867533D-06  1.1484187577D-05 -1.8158288630D-03  3.2366077772D-03  6.5222858887D+00  4.0544423889D+01
   101  4.3669512729D-06  1.1510438719D-05 -1.8195640793D-03  3.2403048685D-03  6.5222858846D+00  4.0544423838D+01
   102  4.3759342329D-06  1.1536749869D-05 -1.8233069793D-03  3.2440061829D-03  6.5222858804D+00  4.0544423786D+01
   103  4.3849356708D-06  1.1563121162D-05 -1.8270575784D-03  3.2477117251D-03  6.5222858762D+00  4.0544423734D+01
   104  4.3939556253D-06  1.1589552735D-05 -1.8308158927D-03  3.2514215003D-03  6.5222858721D+00  4.0544423682D+01
   105  4.4029941339D-06  1.1616044727D-05 -1.8345819379D-03  3.2551355128D-03  6.5222858679D+00  4.0544423630D+01
   106  4.4120512350D-06  1.1642597275D-05 -1.8383557300D-03  3.2588537679D-03  6.5222858637D+00  4.0544423579D+01
   107  4.4211269670D-06  1.1669210520D-05 -1.8421372849D-03  3.2625762701D-03  6.5222858595D+00  4.0544423526D+01
   108  4.4302213680D-06  1.1695884598D-05 -1.8459266188D-03  3.2663030245D-03  6.5222858553D+00  4.0544423474D+01
   109  4.4393344764D-06  1.1722619649D-05 -1.8497237472D-03  3.2700340359D-03  6.5222858511D+00  4.0544423421D+01
   110  4.4484663309D-06  1.1749415812D-05 -1.8535286865D-03  3.2737693090D-03  6.5222858469D+00  4.0544423368D+01
